|2002_naics|2002_naics_title|sic|sic_title_and_note|filename|end|start
0|111110.0|Soybean Farming |116.0|Soybeans|2002_NAICS_to_1987_SIC.xls|1987|2002
1|111120.0|Oilseed (except Soybean) Farming|119.0|Cash Grains, NEC (oilseed farming, except soybeans)|2002_NAICS_to_1987_SIC.xls|1987|2002
2|111130.0|Dry Pea and Bean Farming|119.0|Cash Grains, NEC (dry pea and bean farms)|2002_NAICS_to_1987_SIC.xls|1987|2002
3|111140.0|Wheat Farming|111.0|Wheat|2002_NAICS_to_1987_SIC.xls|1987|2002
4|111150.0|Corn Farming|115.0|Corn|2002_NAICS_to_1987_SIC.xls|1987|2002
5|111150.0|Corn Farming|119.0|Cash Grains, NEC (popcorn farming)|2002_NAICS_to_1987_SIC.xls|1987|2002
6|111160.0|Rice Farming|112.0|Rice |2002_NAICS_to_1987_SIC.xls|1987|2002
7|111191.0|Oilseed and Grain Combination Farming|119.0|Cash Grains, NEC (oilseed and grain combination farms)|2002_NAICS_to_1987_SIC.xls|1987|2002
8|111199.0|All Other Grain Farming|119.0|Cash Grains, NEC (except popcorn, dry pea and bean, oilseed (except soybean), and oilseed and grain combination farms)|2002_NAICS_to_1987_SIC.xls|1987|2002
9|111199.0|All Other Grain Farming|139.0|Field Crops, Except Cash Grains, NEC (broom corn farming)|2002_NAICS_to_1987_SIC.xls|1987|2002
10|111211.0|Potato Farming|134.0|Irish Potatoes|2002_NAICS_to_1987_SIC.xls|1987|2002
11|111219.0|Other Vegetable (except Potato) and Melon Farming|139.0|Field Crops Except Cash Grains (sweet potatoes and yams), NEC|2002_NAICS_to_1987_SIC.xls|1987|2002
12|111219.0|Other Vegetable (except Potato) and Melon Farming|161.0|Vegetables and Melons|2002_NAICS_to_1987_SIC.xls|1987|2002
13|111310.0|Orange Groves|174.0|Citrus Fruits (orange groves and farms)|2002_NAICS_to_1987_SIC.xls|1987|2002
14|111320.0|Citrus (except Orange) Groves |174.0|Citrus Fruits (except orange groves and farms)|2002_NAICS_to_1987_SIC.xls|1987|2002
15|111331.0|Apple Orchards|175.0|Deciduous Tree Fruits (apple orchards and farms)|2002_NAICS_to_1987_SIC.xls|1987|2002
16|111332.0|Grape Vineyards|172.0|Grapes|2002_NAICS_to_1987_SIC.xls|1987|2002
17|111333.0|Strawberry Farming|171.0|Berry Crops (strawberry farms)|2002_NAICS_to_1987_SIC.xls|1987|2002
18|111334.0|Berry (except Strawberry) Farming|171.0|Berry Crops ( except strawberry farms)|2002_NAICS_to_1987_SIC.xls|1987|2002
19|111335.0|Tree Nut Farming|173.0|Tree Nuts|2002_NAICS_to_1987_SIC.xls|1987|2002
