|naics02|2002_naics_title|naics97|1997_naics_title|explanation_of_parts|filename|end|start
0|111110.0|Soybean Farming|111110.0|Soybean Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
1|111120.0|Oilseed (except Soybean) Farming|111120.0|Oilseed (except Soybean) Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
2|111130.0|Dry Pea and Bean Farming|111130.0|Dry Pea and Bean Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
3|111140.0|Wheat Farming|111140.0|Wheat Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
4|111150.0|Corn Farming|111150.0|Corn Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
5|111160.0|Rice Farming|111160.0|Rice Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
6|111191.0|Oilseed and Grain Combination Farming|111191.0|Oilseed and Grain Combination Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
7|111199.0|All Other Grain Farming|111199.0|All Other Grain Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
8|111211.0|Potato Farming|111211.0|Potato Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
9|111219.0|Other Vegetable (except Potato) and Melon Farming|111219.0|Other Vegetable (except Potato) and Melon Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
10|111310.0|Orange Groves|111310.0|Orange Groves||2002_NAICS_to_1997_NAICS.xls|1997|2002
11|111320.0|Citrus (except Orange) Groves|111320.0|Citrus (except Orange) Groves||2002_NAICS_to_1997_NAICS.xls|1997|2002
12|111331.0|Apple Orchards|111331.0|Apple Orchards||2002_NAICS_to_1997_NAICS.xls|1997|2002
13|111332.0|Grape Vineyards|111332.0|Grape Vineyards||2002_NAICS_to_1997_NAICS.xls|1997|2002
14|111333.0|Strawberry Farming|111333.0|Strawberry Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
15|111334.0|Berry (except Strawberry) Farming|111334.0|Berry (except Strawberry) Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
16|111335.0|Tree Nut Farming|111335.0|Tree Nut Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
17|111336.0|Fruit and Tree Nut Combination Farming|111336.0|Fruit and Tree Nut Combination Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
18|111339.0|Other Noncitrus Fruit Farming|111339.0|Other Noncitrus Fruit Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
19|111411.0|Mushroom Production|111411.0|Mushroom Production||2002_NAICS_to_1997_NAICS.xls|1997|2002
20|111419.0|Other Food Crops Grown Under Cover|111419.0|Other Food Crops Grown Under Cover||2002_NAICS_to_1997_NAICS.xls|1997|2002
21|111421.0|Nursery and Tree Production|111421.0|Nursery and Tree Production||2002_NAICS_to_1997_NAICS.xls|1997|2002
22|111422.0|Floriculture Production|111422.0|Floriculture Production||2002_NAICS_to_1997_NAICS.xls|1997|2002
23|111910.0|Tobacco Farming|111910.0|Tobacco Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
24|111920.0|Cotton Farming|111920.0|Cotton Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
25|111930.0|Sugarcane Farming|111930.0|Sugarcane Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
26|111940.0|Hay Farming|111940.0|Hay Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
27|111991.0|Sugar Beet Farming|111991.0|Sugar Beet Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
28|111992.0|Peanut Farming|111992.0|Peanut Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
29|111998.0|All Other Miscellaneous Crop Farming|111998.0|All Other Miscellaneous Crop Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
30|112111.0|Beef Cattle Ranching and Farming|112111.0|Beef Cattle Ranching and Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
31|112112.0|Cattle Feedlots|112112.0|Cattle Feedlots||2002_NAICS_to_1997_NAICS.xls|1997|2002
32|112120.0|Dairy Cattle and Milk Production|112120.0|Dairy Cattle and Milk Production||2002_NAICS_to_1997_NAICS.xls|1997|2002
33|112130.0|Dual-Purpose Cattle Ranching and Farming|112130.0|Dual-Purpose Cattle Ranching and Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
34|112210.0|Hog and Pig Farming|112210.0|Hog and Pig Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
35|112310.0|Chicken Egg Production|112310.0|Chicken Egg Production||2002_NAICS_to_1997_NAICS.xls|1997|2002
36|112320.0|Broilers and Other Meat Type Chicken Production|112320.0|Broilers and Other Meat Type Chicken Production||2002_NAICS_to_1997_NAICS.xls|1997|2002
37|112330.0|Turkey Production|112330.0|Turkey Production||2002_NAICS_to_1997_NAICS.xls|1997|2002
38|112340.0|Poultry Hatcheries|112340.0|Poultry Hatcheries||2002_NAICS_to_1997_NAICS.xls|1997|2002
39|112390.0|Other Poultry Production|112390.0|Other Poultry Production||2002_NAICS_to_1997_NAICS.xls|1997|2002
40|112410.0|Sheep Farming|112410.0|Sheep Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
41|112420.0|Goat Farming|112420.0|Goat Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
42|112511.0|Finfish Farming and Fish Hatcheries|112511.0|Finfish Farming and Fish Hatcheries||2002_NAICS_to_1997_NAICS.xls|1997|2002
43|112512.0|Shellfish Farming|112512.0|Shellfish Farming||2002_NAICS_to_1997_NAICS.xls|1997|2002
