filename|year|standard|code|title
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|116|Soybeans
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|119|Cash Grains, NEC (oilseed farming, except soybeans)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|119|Cash Grains, NEC (dry pea and bean farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|111|Wheat
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|115|Corn
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|119|Cash Grains, NEC (popcorn farming)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|112|Rice 
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|119|Cash Grains, NEC (oilseed and grain combination farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|119|Cash Grains, NEC (except popcorn, dry pea and bean, oilseed (except soybean), and oilseed and grain combination farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|139|Field Crops, Except Cash Grains, NEC (broom corn farming)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|134|Irish Potatoes
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|139|Field Crops Except Cash Grains (sweet potatoes and yams), NEC
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|161|Vegetables and Melons
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|174|Citrus Fruits (orange groves and farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|174|Citrus Fruits (except orange groves and farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|175|Deciduous Tree Fruits (apple orchards and farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|172|Grapes
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|171|Berry Crops (strawberry farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|171|Berry Crops ( except strawberry farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|173|Tree Nuts
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|179|Fruits and Tree Nuts, NEC (combination farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|175|Deciduous Tree Fruits (except apple orchards and farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|179|Fruits and Tree Nuts, NEC (except combination farms) 
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|182|Food Crops Grown Under Cover (growing mushrooms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|182|Food Crops Grown Under Cover (except growing mushrooms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|181|Ornamental Floriculture and Nursery Products (nursery farming)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|811|Timber Tracts (short rotation woody crops)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|181|Ornamental Floriculture and Nursery Products (floriculture farming)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|132|Tobacco
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|131|Cotton
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|133|Sugarcane and Sugar Beets (sugarcane farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|139|Field Crops, Except Cash Grains, NEC (hay farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|133|Sugarcane and Sugar Beets (sugar beet farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|139|Field Crops, Except Cash Grains, NEC (peanut farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|139|Field Crops, Except Cash Grains, NEC (except peanut, sweet potato, broom corn, yam and hay farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|191|General Farms, Primarily Crop
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|831|Forest Nurseries and Gathering of Forest Products (gathering maple sap)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|919|Miscellaneous Marine Products (plant aquaculture)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|2099|Food Preparations, NEC (reducing maple sap to maple syrup)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|212|Beef Cattle, Except Feedlots
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|241|Dairy Farms (dairy heifer replacement farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|211|Beef Cattle Feedlots
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|241|Dairy Farms (except dairy heifer replacement farms) 
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic||Null Set for U.S.
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|213|Hogs
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|252|Chicken Eggs
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|251|Broiler, Fryer, and Roaster Chickens
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|253|Turkeys and Turkey Eggs
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|254|Poultry Hatcheries
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|259|Poultry and Eggs, NEC
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|214|Sheep and Goats (sheep farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|214|Sheep and Goats (goat farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|273|Animal Aquaculture (finfish farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|921|Fish Hatcheries and Preserves (finfish hatcheries)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|273|Animal Aquaculture (shellfish farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|919|Miscellaneous Marine Products (cultured pearl production)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|921|Fish Hatcheries and Preserves (shellfish hatcheries)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|273|Animal Aquaculture (except finfish and shellfish farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|279|Animal Specialties, NEC (frog and alligator farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|279|Animal Specialties, NEC (apiculture)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|272|Horses and Other Equines
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|271|Fur-Bearing Animals and Rabbits
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|219|General Livestock, Except Dairy and Poultry
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|279|Animal Specialties, NEC (except apiculture, frog and alligator farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|291|General Farms, Primarily Livestock and Animal Specialties
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|811|Timber Tracts (long term timber farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|831|Forest Nurseries and Gathering of Forest Products (forest products, except gathering of maple sap)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|2411|Logging
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|912|Finfish
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|913|Shellfish
