|2002_naics|2002_naics_title|sic|sic_title_and_note
0|111110.0|Soybean Farming |116.0|Soybeans
1|111120.0|Oilseed (except Soybean) Farming|119.0|Cash Grains, NEC (oilseed farming, except soybeans)
2|111130.0|Dry Pea and Bean Farming|119.0|Cash Grains, NEC (dry pea and bean farms)
3|111140.0|Wheat Farming|111.0|Wheat
4|111150.0|Corn Farming|115.0|Corn
5|111150.0|Corn Farming|119.0|Cash Grains, NEC (popcorn farming)
6|111160.0|Rice Farming|112.0|Rice 
7|111191.0|Oilseed and Grain Combination Farming|119.0|Cash Grains, NEC (oilseed and grain combination farms)
8|111199.0|All Other Grain Farming|119.0|Cash Grains, NEC (except popcorn, dry pea and bean, oilseed (except soybean), and oilseed and grain combination farms)
9|111199.0|All Other Grain Farming|139.0|Field Crops, Except Cash Grains, NEC (broom corn farming)
10|111211.0|Potato Farming|134.0|Irish Potatoes
11|111219.0|Other Vegetable (except Potato) and Melon Farming|139.0|Field Crops Except Cash Grains (sweet potatoes and yams), NEC
12|111219.0|Other Vegetable (except Potato) and Melon Farming|161.0|Vegetables and Melons
13|111310.0|Orange Groves|174.0|Citrus Fruits (orange groves and farms)
14|111320.0|Citrus (except Orange) Groves |174.0|Citrus Fruits (except orange groves and farms)
15|111331.0|Apple Orchards|175.0|Deciduous Tree Fruits (apple orchards and farms)
16|111332.0|Grape Vineyards|172.0|Grapes
17|111333.0|Strawberry Farming|171.0|Berry Crops (strawberry farms)
18|111334.0|Berry (except Strawberry) Farming|171.0|Berry Crops ( except strawberry farms)
19|111335.0|Tree Nut Farming|173.0|Tree Nuts
20|111336.0|Fruit and Tree Nut Combination Farming|179.0|Fruits and Tree Nuts, NEC (combination farms)
21|111339.0|Other Noncitrus Fruit Farming|175.0|Deciduous Tree Fruits (except apple orchards and farms)
22|111339.0|Other Noncitrus Fruit Farming|179.0|Fruits and Tree Nuts, NEC (except combination farms) 
23|111411.0|Mushroom Production|182.0|Food Crops Grown Under Cover (growing mushrooms)
24|111419.0|Other Food Crops Grown Under Cover|182.0|Food Crops Grown Under Cover (except growing mushrooms)
25|111421.0|Nursery and Tree Production|181.0|Ornamental Floriculture and Nursery Products (nursery farming)
26|111421.0|Nursery and Tree Production|811.0|Timber Tracts (short rotation woody crops)
27|111422.0|Floriculture Production|181.0|Ornamental Floriculture and Nursery Products (floriculture farming)
28|111910.0|Tobacco Farming|132.0|Tobacco
29|111920.0|Cotton Farming|131.0|Cotton
30|111930.0|Sugarcane Farming|133.0|Sugarcane and Sugar Beets (sugarcane farms)
31|111940.0|Hay Farming|139.0|Field Crops, Except Cash Grains, NEC (hay farms)
32|111991.0|Sugar Beet Farming|133.0|Sugarcane and Sugar Beets (sugar beet farms)
33|111992.0|Peanut Farming|139.0|Field Crops, Except Cash Grains, NEC (peanut farms)
34|111998.0|All Other Miscellaneous Crop Farming|139.0|Field Crops, Except Cash Grains, NEC (except peanut, sweet potato, broom corn, yam and hay farms)
35|111998.0|All Other Miscellaneous Crop Farming|191.0|General Farms, Primarily Crop
36|111998.0|All Other Miscellaneous Crop Farming|831.0|Forest Nurseries and Gathering of Forest Products (gathering maple sap)
37|111998.0|All Other Miscellaneous Crop Farming|919.0|Miscellaneous Marine Products (plant aquaculture)
38|111998.0|All Other Miscellaneous Crop Farming|2099.0|Food Preparations, NEC (reducing maple sap to maple syrup)
39|112111.0|Beef Cattle Ranching and Farming|212.0|Beef Cattle, Except Feedlots
40|112111.0|Beef Cattle Ranching and Farming|241.0|Dairy Farms (dairy heifer replacement farms)
41|112112.0|Cattle Feedlots|211.0|Beef Cattle Feedlots
42|112120.0|Dairy Cattle and Milk Production|241.0|Dairy Farms (except dairy heifer replacement farms) 
43|112130.0|Dual Purpose Cattle Ranching and Farming||Null Set for U.S.
44|112210.0|Hog and Pig Farming|213.0|Hogs
45|112310.0|Chicken Egg Production|252.0|Chicken Eggs
46|112320.0|Broilers and Other Meat Type Chicken Production|251.0|Broiler, Fryer, and Roaster Chickens
47|112330.0|Turkey Production|253.0|Turkeys and Turkey Eggs
48|112340.0|Poultry Hatcheries|254.0|Poultry Hatcheries
49|112390.0|Other Poultry Production|259.0|Poultry and Eggs, NEC
50|112410.0|Sheep Farming|214.0|Sheep and Goats (sheep farms)
51|112420.0|Goat Farming|214.0|Sheep and Goats (goat farms)
52|112511.0|Finfish Farming and Fish Hatcheries|273.0|Animal Aquaculture (finfish farms)
53|112511.0|Finfish Farming and Fish Hatcheries|921.0|Fish Hatcheries and Preserves (finfish hatcheries)
54|112512.0|Shellfish Farming|273.0|Animal Aquaculture (shellfish farms)
55|112512.0|Shellfish Farming|919.0|Miscellaneous Marine Products (cultured pearl production)
